title,first_name,occupation,nationality,birth_year,age,article,url
john hutton ( designer ),john,designer,American,1947,58,"john andrew hutton ( december 17, 1947 - august 17, 2006 ) was an american furniture designer best known for creating a 20th-century transitional design style by combining contemporary design with a classical foundation. despite the innovation and attention to detail for which his designs are known, he is also credited as being one of the most prolific designers of his generation responsible for thousands of designs in over 20 different furniture, textile and lighting collections, many of which are now part of the permanent collections of museums around the country. his designs range from upholstered and wooden furniture manufactured around the world to marble from turkey, metal from the netherlands and glass from murano. referred to as a `` national treasure '' in `` the new york times '', hutton is also noted for creating classic forms that are still in style after 40 years on the market. in 1990, hutton was also one of the first furniture designers to implement environmentally green manufacturing techniques by making his furnishings available with crimped animal hair and cotton batting instead of foam, farmed hard woods, and glues derived from natural sources.",https://en.wikipedia.org/wiki/index.php?curid=29295433
donald maisey,donald,farmer,Australian,1915,89,donald william maisey ( 6 may 1915 -- 20 april 2005 ) was an australian politician.,https://en.wikipedia.org/wiki/index.php?curid=18670361
j. esmonde barry,joseph,manager,Canadian,1923,83,"joseph esmonde barry ( 25 october 1923 -- 31 july 2007 ) was a prominent healthcare activist and political commentator in new brunswick, canada. perhaps best known as the voice of the friends of st. joseph 's, an organisation which was instrumental in keeping st. joseph 's hospital open in saint john 's uptown. barry also lobbied for compensation for those involved in the hepatitis c tainted blood scandal of the 1980s.",https://en.wikipedia.org/wiki/index.php?curid=29782320
john howse,john,director,Australian,1913,88,"john brooke howse ( 10 october 1913 -- 11 july 2002 ) was an australian politician. he was born in orange, new south wales, the son of sir neville howse, a minister in the nationalist government of stanley bruce. he attended geelong grammar school and the university of sydney before becoming a company director. he underwent military service 1939-46; on his return, he was elected to the australian house of representatives for the liberal party, defeating labor 's john breen for his father 's old seat of calare. he held the seat until he resigned on 28 september 1960, becoming a manager and company director. he died in 2002.",https://en.wikipedia.org/wiki/index.php?curid=17364575
charles lindbergh,charles,pilot,American,1902,72,"charles augustus lindbergh ( february 4, 1902 -- august 26, 1974 ), nicknamed slim, lucky lindy, and the lone eagle, was an american aviator, author, inventor, military officer, explorer, and social activist. as a 25-year-old u.s. air mail pilot, lindbergh emerged suddenly from virtual obscurity to instantaneous world fame as the result of his orteig prize-winning solo nonstop flight on may 20 -- 21, 1927, made from the roosevelt field in garden city on new york 's long island to le bourget field in paris, france, a distance of nearly, in the single-seat, single-engine, purpose-built ryan monoplane `` spirit of st. louis ''. as a result of this flight, lindbergh was the first person in history to be in new york one day and paris the next. the record setting flight took 33 hours and 30 minutes. lindbergh, a u.s. army air corps reserve officer, was also awarded the nation 's highest military decoration, the medal of honor, for his historic exploit. in the late 1920s and early 1930s, lindbergh used his fame to promote the development of both commercial aviation and air mail services in the united states and the americas. in march 1932, his infant son, charles, jr., was kidnapped and murdered in what was soon dubbed the `` crime of the century ''. it was described by journalist h. l. mencken, as ''... the biggest story since the resurrection. '' the kidnapping eventually led to the lindbergh family being `` driven into voluntary exile '' in europe, to which they sailed in secrecy from new york under assumed names in late december 1935 to `` seek a safe, secluded residence away from the tremendous public hysteria '' in america. the lindberghs returned to the united states in april 1939. before the united states formally entered world war ii, lindbergh had been an outspoken advocate of keeping the u.s. out of the world conflict, as had his father, congressman charles august lindbergh, during world war i. although lindbergh was a leader in the antiwar america first movement, he nevertheless strongly supported the war effort after pearl harbor and flew 50 combat missions in the pacific theater of world war ii as a civilian consultant, though president franklin d. roosevelt had refused to reinstate his army air corps colonel 's commission from which he had resigned in april 1941. in his later years, lindbergh became a prolific prize-winning author, international explorer, inventor, and environmentalist.",https://en.wikipedia.org/wiki/index.php?curid=82981
graham hart,graham,judge,Australian,1906,68,graham lloyd hart ( 6 january 1906 -- 18 april 1974 ) was an australian politician and judge of the supreme court of queensland. he was the liberal member for mount gravatt in the legislative assembly of queensland from 1957 to 1963.,https://en.wikipedia.org/wiki/index.php?curid=33276524
william bullock ives,william,businessperson,Canadian,1841,57,william bullock ives ( 17 november 1841 -- 15 july 1899 ) was a canadian politician. he was the president of the privy council and minister of trade and commerce.,https://en.wikipedia.org/wiki/index.php?curid=5643116
mikhail saltykov-shchedrin,mikhail,writer,Russian,1826,63,"mikhail yevgrafovich saltykov-shchedrin (, born saltykov, pseudonym nikolai shchedrin; -- ), was a major russian satirist of the 19th century. he spent most of his life working as a civil servant in various capacities. after the death of poet nikolay nekrasov, he acted as editor of the well-known russian magazine, `` otechestvenniye zapiski '' ( variously translated as `` annals of the fatherland '', `` patriotic notes '', `` notes of the fatherland '', etc ), until it was banned by the government in 1884. his best known work is the novel `` the golovlyov family '' ( 1876 ).",https://en.wikipedia.org/wiki/index.php?curid=137264
ron moody,ron,actor,British,1924,91,"ron moody ( born ronald moodnick; 8 january 1924 -- 11 june 2015 ) was a british actor, best known for his golden globe-winning and oscar-nominated performance as fagin in `` oliver! '' he holds the distinction of having portrayed merlin the wizard in two disney films, `` unidentified flying oddball '' and `` a kid in king arthur 's court ''.",https://en.wikipedia.org/wiki/index.php?curid=161909
thomas g. pullen,thomas,educator,American,1898,81,"thomas granville pullen jr. ( 1898 -- 1979 ) was the fifth president of the university of baltimore from 1964 to 1969. prior to that, he acted as state superintendent of schools for maryland from 1942 to 1964.",https://en.wikipedia.org/wiki/index.php?curid=38755560
arturo jauretche,arturo,writer,Argentine,1901,72,"arturo martín jauretche ( lincoln, buenos aires, november 13, 1901 -- buenos aires, may 25, 1974 ) was an argentine writer, politician, and philosopher.",https://en.wikipedia.org/wiki/index.php?curid=12867081
paul biegel,paul,journalist,Dutch,1925,81,"paul biegel ( 25 march 1925, bussum -- 21 october 2006, laren ) was a successful and prolific dutch writer of children 's literature.",https://en.wikipedia.org/wiki/index.php?curid=287249
george stapledon,reginald,scientist,British,1882,77,sir reginald george stapledon frs ( 22 september 1882 - 16 september 1960 ) was an english grassland scientist and pioneer environmentalist.,https://en.wikipedia.org/wiki/index.php?curid=19789664
irving leroy ress,irving,physician,American,1904,58,"irving leroy ress ( august 23, 1904 - september 16, 1962 ) was a prominent beverly hills physician and obstetrician.",https://en.wikipedia.org/wiki/index.php?curid=29247453
adolphe vorderman,adolphe,physician,Dutch,1844,57,"adolphe guillaume vorderman ( 12 december 1844, the hague -- 15 july 1902, batavia ) was a dutch physician and scientist whose extensive and scrupulous study of the link between polished rice and beriberi in the dutch east indies in 1897 helped lead to the discovery of vitamins. adolphe vorderman was a great-grandfather of british television presenter carol vorderman.",https://en.wikipedia.org/wiki/index.php?curid=16193552
horace arthur rose,horace,administrator,British,1867,65,"horace arthur rose ( 1867 -- 1933 ) was an administrator in the indian civil service and also an author of works related to india in the time of the british raj. rose was the son of a merchant from east grinstead and was born on 25 november 1867. he was educated at st paul 's school and at emmanuel college, cambridge, where he arrived from his home in wallingford, surrey with the award of a scholarship. rose passed the competitive examination for the indian civil service in 1886 and arrived in india on 4 october 1888. initially posted as an assistant commissioner in the punjab, he was appointed deputy commissioner in march 1898 and in 1902 became superintendent of the `` gazetteer '' revision. he was superintendent for the punjab census in 1901 and from then until 1906 was also superintendent of ethnography for that province. from 1906 to 1913 he was a district judge in the court of district and sessions of the punjab, and from then was appointed judge. he was appointed the rank of honorary lieutenant-colonel in the indian army during world war i. rose retired from the ics in 1918 and died at saint brélade, jersey on 18 september 1933.",https://en.wikipedia.org/wiki/index.php?curid=33685977
jan van riebeeck,jan,administrator,Dutch,1619,57,johan anthoniszoon `` jan '' van riebeeck ( 21 april 1619 -- 18 january 1677 ) was a dutch colonial administrator and founder of cape town.,https://en.wikipedia.org/wiki/index.php?curid=171313
eugene england,eugene,professor,American,1933,68,"george eugene england, jr. ( july 22, 1933 -- august 17, 2001 ), usually credited as eugene england, was a mormon writer, teacher, and scholar. he founded '' '', the oldest independent journal in mormon studies, with g. wesley johnson in 1966 and cofounded the association for mormon letters in 1976. he is also widely known in the lds church for his many essays about mormon culture and thought. from 1977-1998, england taught mormon literature at brigham young university. england described the ideal modern mormon scholar as `` critical and innovative as his gifts from god require but conscious of and loyal to his own unique heritage and nurturing community and thus able to exercise those gifts without harm to others or himself. ''",https://en.wikipedia.org/wiki/index.php?curid=15751083
james kendall hosmer,james,librarian,American,1834,93,"james kendall hosmer ( born in northfield, massachusetts, 29 january 1834; died 11 may 1927 ) was a united states educator, historian and writer.",https://en.wikipedia.org/wiki/index.php?curid=35321779
arturo enrile,arturo,soldier,Filipino,1940,57,"arturo tiongson enrile ( june 20, 1940 -- january 14, 1998 ) was the secretary of the department of transportation and communication of the philippines from april 1997 -- january 1998.",https://en.wikipedia.org/wiki/index.php?curid=9408145
antoine louis,antoine,surgeon,French,1723,69,"antoine louis ( february 13, 1723 -- may 20, 1792 ) was a french surgeon and physiologist who was born in metz. he was originally trained in medicine by his father, a surgeon-major at a local military hospital. as a young man he moved to paris, where he served as `` gagnant-maîtrise '' at the salpêtrière. in 1750 he was appointed professor of physiology, a position he held for 40 years. in 1764 he was appointed lifetime secretary to the académie royale de chirurgie. louis published numerous articles on surgery, including several biographies of surgeons who died in his lifetime. he also published the surgical aphorisms of dutch physician hermann boerhaave ( 1668 -- 1738 ). louis is credited with designing a prototype of the guillotine. for a period of time after its invention, the guillotine was called a `` louisette ''. however, it was later named after french physician joseph ignace guillotin ( 1738 -- 1814 ), who advocated a more humane method of capital punishment. the `` angle of louis '' is another name for the sternal angle, which is the point of junction between the manubrium and the body of the sternum.",https://en.wikipedia.org/wiki/index.php?curid=10450818
george bertram cockburn,george,chemist,British,1872,59,george bertram cockburn obe ( 8 january 1872 -- 25 february 1931 ) was a research chemist who became an aviation pioneer. he represented great britain in the first international air race at rheims and co-founded the first aerodrome for the army at larkhill. he also trained the first four pilots of what was to become the fleet air arm. during world war i he worked as a government inspector of aeroplanes for the royal flying corps at farnborough and subsequently became head of the accidents branch of the department of the controller-general of civil aviation at the air ministry.,https://en.wikipedia.org/wiki/index.php?curid=27311905
bert convy,bert,actor,American,1933,57,"bernard whalen `` bert '' convy ( july 23, 1933 -- july 15, 1991 ) was an american actor, singer, game show host and panelist known for his tenure as the host for `` tattletales '', `` super password '', and `` win, lose or draw ''.",https://en.wikipedia.org/wiki/index.php?curid=1066136
james haldane stewart lockhart,james,administrator,Scottish,1858,79,"sir james haldane stewart lockhart kcmg, lld ( 1858 -- 1937 ) was a british colonial official in hong kong and china for more than 40 years. he also was a sinologist who made pioneering translations. ( his name 's official chinese translation is 駱克 ( cantonese: lok hak ). )",https://en.wikipedia.org/wiki/index.php?curid=2212440
ray thorburn,ray,engineer,Australian,1930,55,"raymond william `` ray '' thorburn ( 15 november 1930 -- 30 january 1986 ) was an australian politician. born in sydney, he was educated at sydney technical college before becoming an electrical engineer. he was the president of sutherland shire council from 1971 to 1972, when was elected to the australian house of representatives for the labor party, defeating liberal member don dobie for the seat of cook. he held the seat until his defeat by dobie in 1975, and made three unsuccessful attempts to retake it. he remains the only laborite to ever held the seat. he died in 1986.",https://en.wikipedia.org/wiki/index.php?curid=17468815
death of sophie toscan du plantier,sophie,producer,French,1957,39,"sophie toscan du plantier ( 28 july 1957 -- 23 december 1996 ) was a french film producer beaten to death outside her holiday home near toormore, schull, county cork, ireland on the night of 22 december 1996. she was the wife of another film producer, daniel toscan du plantier. her death remains unsolved.journalist ian bailey was arrested twice in relation to the murder. however, he was not prosecuted for the crime and has always protested his innocence.",https://en.wikipedia.org/wiki/index.php?curid=30581304
arthur blakeley,arthur,unionist,Australian,1886,85,"arthur blakeley ( 3 july 1886 -- 27 june 1972 ) was an australian politician. blakeley was born in gilberton, south australia, and was educated at north broken hill convent school. he left school at 13 to work in the local mining camps. he then mainly worked in pastoral occupations and became secretary of the western branch the australian workers ' union and a member of the state executive of the australian labor party from 1915 to 1917. he married ruby pauline mccarroll in 1914.",https://en.wikipedia.org/wiki/index.php?curid=14638638
john m. schiff,john,banker,American,1904,82,"john mortimer schiff ( august 26, 1904 - may 9, 1987 ) was a partner in the firm kuhn, loeb & co., as well as a trustee of the john simon guggenheim memorial foundation, championship breeder/owner of thoroughbred racehorses and the national president of the boy scouts of america from 1951 to 1956.",https://en.wikipedia.org/wiki/index.php?curid=3850378
henry brandon ( actor ),henry,actor,American,1912,77,"henry brandon ( june 8, 1912 -- february 15, 1990 ) was a german-american character actor with an extensive career over 60 years involving more than one hundred films, with an ability at playing a wide diversity of ethnic roles, from european to american, oriental to american indians.",https://en.wikipedia.org/wiki/index.php?curid=2086875
barry streek,barry,journalist,South African,1948,57,barry streek ( 30 august 1948 -- 21 july 2006 ) was a south african political journalist and anti-apartheid activist.,https://en.wikipedia.org/wiki/index.php?curid=10504363
midge costanza,margaret,politician,American,1932,77,"margaret costanza ( november 28, 1932 -- march 23, 2010 ), widely known as '' `` midge '' '', was an american presidential advisor, social and political activist. a lifelong champion of gay and women 's rights, she was known for her wit, outspoken manner and commitment to her convictions.",https://en.wikipedia.org/wiki/index.php?curid=19939766
simon sainsbury,simon,businessperson,British,1930,76,"the hon simon david davan sainsbury ( 1 march 1930 -- 27 september 2006 ) was a british businessman, philanthropist and art collector.",https://en.wikipedia.org/wiki/index.php?curid=14026941
c. bernard jackson,bernard,administrator,American,1927,68,"c. bernard jackson ( november 4, 1927 -- july 16, 1996 ) was an award-winning american playwright who founded the inner city cultural center in los angeles. inner city was one of the first arts institutions in the united states to promote multiculturalism. the facility nurtured the careers of numerous performers including beah richards, george takei, edward james olmos, nobu mccarthy and forest whitaker.",https://en.wikipedia.org/wiki/index.php?curid=30003703
francis isidore power,francis,lawyer,Australian,1852,60,"francis isidore power ( 1852 -- 1912 ) was a solicitor and politician in queensland, australia. he was a member of the queensland legislative council.",https://en.wikipedia.org/wiki/index.php?curid=42206262
don kirshner,don,publisher,American,1934,76,"donald clark `` don '' kirshner ( april 17, 1934 -- january 17, 2011 ), known as the man with the golden ear, was an american music publisher, rock music producer, talent manager, and songwriter. he was best known for managing songwriting talent as well as successful pop groups, such as the monkees, kansas, and the archies.",https://en.wikipedia.org/wiki/index.php?curid=1313479
william frederick taylor,william,surgeon,English,1840,87,william frederick taylor ( 27 april 1840 -- 29 june 1927 ) was a surgeon and member of the queensland legislative council.,https://en.wikipedia.org/wiki/index.php?curid=45651598
rex ingamells,rex,poet,Australian,1913,42,"reginald charles ( rex ) ingamells ( 19 january 191330 december 1955 ) was an australian poet, generally credited with being the leading light of the jindyworobak movement. rex ingamells was born in orroroo to a methodist minister, and attended port lincoln high school, where he became addicted to poetry. he later attended the university of adelaide. after a trip at the turn of the thirties, ingamells became fascinated with indigenous australian culture, and became inspired to found the jindyworobaks a few years later. in 1935, his first book `` gum tops '' was published. he died near dimboola, victoria in a car-crash in 1955.",https://en.wikipedia.org/wiki/index.php?curid=7938614
ron hayes,ronald,actor,American,1929,75,"ronald g. hayes, known as ron hayes ( february 26, 1929 -- october 1, 2004 ), was an american television actor who, as an activist in the environmental movement, worked for the establishment of the first earth day, observed on april 22, 1970. he was a member of the sierra club and a founder of the ecological interest group, wilderness world. in his acting career, hayes appeared primarily on westerns, but he also had starring or recurring roles in several series, including `` the everglades '', `` the rounders '', and `` lassie ''.",https://en.wikipedia.org/wiki/index.php?curid=21431091
robert q. lewis,robert,broadcaster,American,1920,71,"robert q. lewis ( april 25, 1920 -- december 11, 1991 ) was an american radio and television personality, game show host, and actor. lewis added the middle initial `` q. '' to his name accidentally on the air in 1942, when he responded to a reference to radio comedian f. chase taylor 's character, colonel lemuel q. stoopnagle, by saying, `` and this is robert `` q. '' lewis. '' he subsequently decided to retain the initial, telling interviewers that it stood for `` quizzical. '' lewis is perhaps best known for his game show participation, having been the first host of `` the name 's the same '', and regularly appearing on other goodson-todman panel shows. he also hosted and appeared on a multitude of television shows of the 1940s through the 1970s. his most distinguishing feature was his horn-rimmed glasses, to the point that the title card for his second `` robert q. lewis show '' featured a pair of such glasses as a logo, and they were mentioned in the title of his lecture. as a frequent guest panelist on `` what 's my line? '', lewis 's blindfold featured a sketched pair of glasses.",https://en.wikipedia.org/wiki/index.php?curid=1233758
don lafontaine,don,actor,American,1940,68,"donald leroy `` don '' lafontaine ( august 26, 1940 -- september 1, 2008 ) was an american voice actor who recorded more than 5,000 film trailers and thousands of television advertisements, network promotions, and video game trailers. he became identified with the phrase `` in a world... '', used in so many movie trailers that it became a cliché. widely known in the film industry, the man whose nicknames included `` thunder throat '' and `` the voice of god '', became known to a wider audience through commercials for geico insurance and the mega millions lottery game.",https://en.wikipedia.org/wiki/index.php?curid=472272
lewis nott,lewis,doctor,Australian,1886,65,"lewis windermere nott ( 12 february 1886 -- 27 october 1951 ) was an australian politician, medical practitioner and hospital superintendent. he represented two federal electorates, more than and 21 years apart.",https://en.wikipedia.org/wiki/index.php?curid=11805842
mildred fahrni,mildred,activist,Canadian,1900,92,"mildred fahrni ( 1900-1992 ) was a canadian pacifist and socialist, who became friends with gandhi and martin luther king, jr.. she was a leader of the women 's international league for peace and freedom ( wilpf ) and the fellowship of reconciliation. fahrni actively opposed world war ii and the xenophobia that led to japanese canadian internment and the internment of dukhobor children. she was an ardent feminist and social activist.",https://en.wikipedia.org/wiki/index.php?curid=47299652
franz schulz,franz,writer,Austrian,1897,74,"franz schulz ( born 22 march 1897 in prague, austria-hungary, died 4 may 1971, in muralto, tessin, switzerland ) was a playwright and screenwriter who worked from 1920 through 1956.",https://en.wikipedia.org/wiki/index.php?curid=31584193
"arthur hay, 15th earl of kinnoull",earl,farmer,British,1935,78,"arthur william george patrick hay, 15th earl of kinnoull ( 26 may 1935 -- 7 june 2013 ), styled as viscount dupplin until age 3, was a hereditary peer, surveyor, farmer and member of the house of lords. his titles were earl of kinnoull, viscount dupplin and lord hay of kinfauns in the peerage of scotland; and baron hay of pedwardine in the peerage of great britain.",https://en.wikipedia.org/wiki/index.php?curid=46290458
robert robertson ( chemist ),robert,chemist,Scottish,1869,80,"sir robert robertson kbe frs ( 17 april 1869 -- 28 april 1949 ) was a scottish chemist who served as hm government 's government chemist between 1921 and 1936. he was the first person to establish that two types of natural diamond existed. robert robertson was born in cupar, fife, and educated at bell baxter high school. after leaving school he attended st. andrews university, where he graduated in both arts and science. the same institution would later award him an honorary lld. after leaving university he was appointed assistant in the laboratory of the city analyst in glasgow. he later obtained the post of analyst in the royal gunpowder factory at waltham abbey. his work as director of explosives research during the great war was recognised with the award of a kbe. he was also honoured with his election as a fellow of the royal society in 1917. in 1921 he became chief government chemist, a post held until his retirement in 1936. in 1922 he was elected president of the faraday society, in 1924 president of the british association for the advancement of science, and from 1925 to 1927 he was a council member of the royal society of london. in 1944, he was awarded the royal society 's davy medal `` n recognition of his researches on explosives, analytical methods, the internal structure of diamond, and infra-red absorption spectra ''. sir robert robertson 's archives are held by archive services, university of dundee. sir robert robertson frs should not be confused with sir robert robinson om, prs, frse, the oxford nobel laureate, the subject of a separate wikipedia entry.",https://en.wikipedia.org/wiki/index.php?curid=22223561
johan oscar smith,johan,officer,Norwegian,1871,71,"johan oscar smith ( october 11, 1871 in fredrikstad, norway -- may 1, 1943 in horten ) was a norwegian christian leader who founded the evangelical non-denominational fellowship now known as brunstad christian church.",https://en.wikipedia.org/wiki/index.php?curid=3054788
harold winthrop clapp,harold,executive,Australian,1875,77,"sir harold winthrop clapp kbe ( 7 may 1875 -- 21 october 1952 ) was a transport administrator who over the course of thirty years had a profound effect on australia 's railway network. in two decades as its chairman of commissioners, he revolutionised victorian railways, with unprecedented attention to customer service and innovations such as more powerful locomotives, air-conditioned carriages, and faster services culminating in the introduction of the flagship `` spirit of progress '' express train. seconded to the federal government in world war ii, he played a pivotal role in the manufacture of fighter aircraft in the defence of australia. as director-general of australia 's land transport board, he presented a report on railway gauge standardisation that ultimately led to the eventual linking of all australian mainland capital cities by a uniform rail gauge.",https://en.wikipedia.org/wiki/index.php?curid=17367563
cyril primmer,cyril,farmer,Australian,1924,79,"cyril graham primmer ( 19 april 1924 -- 1 november 2003 ) was an australian politician. born in warrnambool, victoria, he was educated at state schools before becoming a dairy farmer at koroit. he served in the military 1943-1945, and was a member of belfast shire council. in 1970, he was elected to the australian senate as a labor senator for victoria. he remained in the senate until his retirement in 1984. primmer died in 2003.",https://en.wikipedia.org/wiki/index.php?curid=20187390
heinrich von kleist,heinrich,poet,German,1777,34,"bernd heinrich wilhelm von kleist ( 18 october 1777 -- 21 november 1811 ) was a german poet, dramatist, novelist and short story writer. the kleist prize, a prestigious prize for german literature, is named after him.",https://en.wikipedia.org/wiki/index.php?curid=216556
ian douglas-wilson,ian,physician,British,1912,101,"ian douglas-wilson ( 12 may 1912 -- 15 october 2013 ) was a british physician who was editor of `` the lancet '', a united kingdom-based medical journal, from 1965 to 1976.",https://en.wikipedia.org/wiki/index.php?curid=40918213
beatrice brigden,beatrice,activist,Canadian,1888,89,"beatrice alice brigden ( 1888-1977 ) was a canadian social reformer, feminist and politician. she was a radical for her time, advocating for birth control, the intellectual parity of men and women, and economic security among many other issues. she began her career as a social reformer under the guidance of the methodist church 's social gospel but moved more radically to the left when it became apparent from her work with immigrants and laborers that the church was not supportive of social and economic reforms. she was one of the early members of the brandon labor church and was a founder of both the people 's forum speaker 's bureau and the labor women 's social and economic conference, the latter of which was merged into the co-operative commonwealth federation ( manitoba section ). though she was one of the founders of the co-operative commonwealth federation she was unsuccessful in several attempts to win a seat in the manitoba legislature. in addition to her many programs for women, brigden also was one of the founders of the indian-métis friendship centres. her biographer, allison campbell wrote of her: `` by the standards of her time, to be ambitious, deliberately single, determinedly self-supporting and continuously outspoken was cause enough to be labeled as a radical. '' social reform was not a side-line to her wifely duties, it was her career.",https://en.wikipedia.org/wiki/index.php?curid=47164674
ray sherry,ray,actor,Australian,1924,64,"raymond henry `` ray '' sherry ( 3 october 1924 -- 13 june 1989 ) was an australian politician. born in sydney, he was educated there at state schools. he spent 1941-1946 with the merchant navy before becoming an actor, television broadcaster and commentator, moving to hobart in 1956. in 1969, he was elected to the australian house of representatives as the labor member for franklin, defeating liberal mp thomas pearsall. he held the seat until his defeat by liberal candidate bruce goodluck in 1975. in 1976 he entered the tasmanian house of assembly for franklin, holding the seat until 1979. sherry died in 1989. his son, nick sherry, has been a senator from tasmania since 1993.",https://en.wikipedia.org/wiki/index.php?curid=20130941
francis fox ( civil engineer ),francis,engineer,British,1844,82,"sir francis fox ( 29 june 1844 - 7 january 1927 ) was an english civil engineer, who was responsible for the bridges over the victoria falls of the zambesi and sydney harbour, the mersey railway tunnel and the liverpool overhead railway, and extending the london underground. he was awarded a knighthood by the king on 25 july 1912.",https://en.wikipedia.org/wiki/index.php?curid=12034750
roy harvey,roy,politician,Australian,1921,85,"william charles roy `` roy '' harvey ( 6 january 1921 - 23 april 2006 ), more commonly known as roy harvey, was lord mayor of brisbane city council, queensland, australia from 1982 until 1985. a member of the australian labor party, he spent a total of 27 years on the council.",https://en.wikipedia.org/wiki/index.php?curid=11035757
mary turnbull,constance,historian,British,1927,81,"constance mary turnbull ( february 9 1927 -- september 5 2008 ) was a historian lauded for her lifetime of literary research writing contributing to the documentation of asian history, and for her documentary work on the history of singapore. her expertise on singapore history and citations from her book `` the straits settlements '' was instrumental to the case presented by the singapore legal team to the international court of justice, in claiming sovereignty over pedra branca in 2008. ( see sovereignty over pedra branca/pulau batu puteh, middle rocks and south ledge ( malaysia v. singapore ) ). mary was born the only child to a native farm-owner father and a schoolteacher mother from the isle of man, in a farm not far from wooler, northumberland. in the 1920s coventry grew to be the centre of uk motor industry, and her family moved to the thriving city when her father decided to give up farming for a more lucrative career in motorcar engineering. throughout her childhood mary led a happy but simple life despite having to live with different relatives during the great depression and during the german air raids in world war ii. on leaving university, she worked for ici in what would now be termed the human resources department but, looking for a more adventurous life, she joined the malayan civil service, the first female administrative officer to be recruited to the service, and one of only two women who would ever work in that capacity for the colonial authorities. she later joined the university of malaya in kuala lumpur, but on her marriage to leonard rayner in 1962, moved to singapore. here she was a member of the history department until 1971 when she moved to hong kong to take up a post as lecturer at the university 's history department. in 1988 mary retired from her position as head of the history department at hong kong university. she continued to write, and travel around britain and new zealand and on occasions, to singapore and malaysia for visits. in the 1990s she was commissioned by the straits times to compile the history of the singapore newspaper company and in 1995, `` dateline singapore: 150 years of the straits times '' that resulted from nearly 3 years ' of work, was launched to inaugurate the 150th anniversary of the founding of the newspaper title. mary died on the afternoon of september 5, 2008 of a ruptured aorta, just 5 hours after discovering the condition in a routine check-up. she had also been working on writing the third edition of `` a history of singapore '' just before her death.",https://en.wikipedia.org/wiki/index.php?curid=20826519
walter karp,walter,journalist,American,1934,55,"walter b. karp ( may 14, 1934 -- july 19, 1989 ) was an american journalist, historian, and writer who published in magazines such as `` american heritage '' and `` horizon '', and also was a contributing editor for `` harper 's magazine '' ( edited by friend lewis h. lapham ), which re-published some of his political history books in 2003. as an historian, he emphasized the close relationship between domestic and international politics, and the shallowness of the modern two-party system of the us, proposing power and militarism -- not money -- as the corrupting influences upon politics. walter karp was born in brooklyn, new york city, and studied anthropology at columbia college of columbia university, and was graduated as valedictorian of the class of 1955. he began his career as a popular science writer, penning `` charles darwin and the origin of species '' ( 1968 ) a young-adult book about charles darwin. later, he began writing about politics, his opposition response to the vietnam war ( 1945 -- 76 ). in 1969, he and h. r. shapiro, a friend and fellow writer, founded the fortnightly magazine `` the public life '', which w. h. auden praised. as an intellectual, he named thomas jefferson and hannah arendt as two great influences, and the founding fathers of the united states as political influences, thus the eighteenth-century inflection of his literary style. karp died in 1989 after undergoing surgery at roosevelt hospital, having been admitted previously for a blockage and enlargement in his colon. he was 55.",https://en.wikipedia.org/wiki/index.php?curid=11813647
norman a. fox,norman,novelist,American,1911,48,"norman arnold fox ( may 26, 1911 -- march 24, 1960 ) was an american author best known for western stories and novels. his stories were often set around actual events in montana history and contained authentic detail for the period. norman 's works were adapted into radio programs, live television and motion pictures.",https://en.wikipedia.org/wiki/index.php?curid=38808945
eric francis ( architect ),eric,architect,British,1887,88,"eric carwardine francis ( 30 august 1887 -- 26 january 1976 ) was a british architect and painter who designed a number of notable buildings, particularly in monmouthshire, gloucestershire and somerset, in the early and mid-twentieth century, many in the arts and crafts style.",https://en.wikipedia.org/wiki/index.php?curid=35614804
peter wood ( australian politician ),peter,teacher,Australian,1935,74,"peter wood ( 4 november 1935 -- 24 january 2010 ) oam was an australian politician. wood and his identical twin brother bill were the sons of les wood, also a labor politician. peter was elected to the legislative assembly of queensland in 1966, representing toowoomba east; he moved to toowoomba south in 1972 but was defeated in 1974. following his defeat wood spent 22 years on toowoomba city council, serving as deputy mayor for 12 of those. he moved to noosa in 2007 and died from cancer in 2010.",https://en.wikipedia.org/wiki/index.php?curid=33257613
jack williamson,jack,writer,American,1908,98,"john stewart williamson ( april 29, 1908 -- november 10, 2006 ), who wrote as jack williamson, was an american science fiction writer, often called the `` dean of science fiction '' after the death of robert heinlein in 1988. early in his career he sometimes used the pseudonyms will stewart and nils o. sonderlund.",https://en.wikipedia.org/wiki/index.php?curid=362192
cyril hume,cyril,novelist,American,1900,66,"cyril hume ( march 16, 1900 -- march 26, 1966 ) was an american novelist and screenwriter. hume was a graduate of yale university, where he edited campus humor magazine `` the yale record ''. he was an editor of the collection `` the yale record book of verse: 1872-1922 '' ( 1922 ). he wrote for 29 films between 1924 and 1966, including `` tarzan the ape man '' ( 1932 ), `` flying down to rio '' ( 1933 ), `` the great gatsby '' ( 1949 ), `` tokyo joe '' ( 1949 ) and `` forbidden planet '' ( 1956 ). he died in palos verdes, california on march 26, 1966.",https://en.wikipedia.org/wiki/index.php?curid=14232455
bernard francis saul,bernard,banker,American,1872,59,"bernard francis saul ( january 16, 1872 - february 1, 1931 ) was the founder washington d.c. 's first mortgage bank, the b. f. saul company.",https://en.wikipedia.org/wiki/index.php?curid=40148339
otto nagel,otto,painter,German,1894,72,otto nagel ( 27 september 1894 -- 12 july 1967 ) was a german painter.,https://en.wikipedia.org/wiki/index.php?curid=34232999
